um.driver: unified_memory
um.executed_before: no
um.payload_mib: 1024
um.payload_bytes: 1073741824
um.rounds: 8
um.mode: resident
um.contention: 0
um.hold_bytes: 0
um.policy.default_route: copy_staged
um.policy.enable_level: trainer
um.policy.evidence.copy_staged: none
um.policy.evidence.copy_direct: none
um.policy.evidence.map_write: none
um.policy.evidence.host_direct: none
um.policy.evidence.wrapped_host_buffer: none
um.policy.role.bins.host_direct: source_not_device_visible
um.policy.role.grad.host_direct: no_evidence
um.policy.role.hess.host_direct: no_evidence
um.policy.role.hist_out.host_direct: device_written_atomics
um.policy.role.row_seed.host_direct: no_evidence
um.policy.role.valid_bins.host_direct: source_not_device_visible
um.policy.role.predict_out.host_direct: no_evidence
um.policy.role.batch_bins.host_direct: no_evidence
um.marker.begin_ns: 434154077970000
um.accelerator: present
um.device.multiprocessors: 10
um.device.max_threads_per_block: 1024
um.copy_staged.status: ok
um.copy_staged.comparable: 1
um.copy_staged.input_route: copy_staged
um.copy_staged.out_route: copy
um.copy_staged.mode: resident
um.copy_staged.payload_bytes: 1073741824
um.copy_staged.alloc_ns: 215000
um.copy_staged.round0_write_ns: 341483000
um.copy_staged.round0_publish_ns: 713000
um.copy_staged.round0_total_ns: 414956000
um.copy_staged.write_ns: 0
um.copy_staged.publish_ns: 0
um.copy_staged.kernel_ns: 41333
um.copy_staged.sync_ns: 13045500
um.copy_staged.readback_ns: 232500
um.copy_staged.contend_ns: 0
um.copy_staged.round_mean_ns: 13319333
um.copy_staged.round_min_ns: 12880000
um.copy_staged.host_alloc_bytes: 1073741829
um.copy_staged.device_alloc_bytes: 1073741828
um.copy_staged.allocated_bytes: 2147483657
um.copy_staged.copy_bytes_issued_total: 2147483648
um.copy_staged.enqueues_copy: 1
um.copy_staged.drains_per_round: 2
um.copy_staged.retouch_round: 4
um.copy_staged.retouch_write_ns: 2000
um.copy_staged.retouch_publish_ns: 6000
um.copy_staged.retouch_total_ns: 34479000
um.copy_staged.retouch_over_steady: 2.588643140013092
um.copy_staged.checksum: -275013883
um.copy_staged.expected: -275013883
um.copy_staged.round0_over_steady: 31.154412912418362
um.copy_staged.steady_ns_per_byte: 0.012404595501720905
um.copy_direct.status: ok
um.copy_direct.comparable: 1
um.copy_direct.input_route: copy_direct
um.copy_direct.out_route: copy
um.copy_direct.mode: resident
um.copy_direct.payload_bytes: 1073741824
um.copy_direct.alloc_ns: 311286000
um.copy_direct.round0_write_ns: 280366000
um.copy_direct.round0_publish_ns: 79793000
um.copy_direct.round0_total_ns: 396320000
um.copy_direct.write_ns: 0
um.copy_direct.publish_ns: 0
um.copy_direct.kernel_ns: 33166
um.copy_direct.sync_ns: 12234666
um.copy_direct.readback_ns: 199833
um.copy_direct.contend_ns: 0
um.copy_direct.round_mean_ns: 12467666
um.copy_direct.round_min_ns: 12201000
um.copy_direct.host_alloc_bytes: 1073741829
um.copy_direct.device_alloc_bytes: 1073741828
um.copy_direct.allocated_bytes: 2147483657
um.copy_direct.copy_bytes_issued_total: 2147483648
um.copy_direct.enqueues_copy: 1
um.copy_direct.drains_per_round: 2
um.copy_direct.retouch_round: 4
um.copy_direct.retouch_write_ns: 0
um.copy_direct.retouch_publish_ns: 47610000
um.copy_direct.retouch_total_ns: 60632000
um.copy_direct.retouch_over_steady: 4.863139580415452
um.copy_direct.checksum: -275013883
um.copy_direct.expected: -275013883
um.copy_direct.round0_over_steady: 31.787826205803075
um.copy_direct.steady_ns_per_byte: 0.011611418798565865
um.map_write.status: ok
um.map_write.comparable: 1
um.map_write.input_route: map_write
um.map_write.out_route: copy
um.map_write.mode: resident
um.map_write.payload_bytes: 1073741824
um.map_write.alloc_ns: 73000
um.map_write.round0_write_ns: 368798000
um.map_write.round0_publish_ns: 25064000
um.map_write.round0_total_ns: 406281000
um.map_write.write_ns: 0
um.map_write.publish_ns: 0
um.map_write.kernel_ns: 29833
um.map_write.sync_ns: 12145166
um.map_write.readback_ns: 189833
um.map_write.contend_ns: 0
um.map_write.round_mean_ns: 12364833
um.map_write.round_min_ns: 12278000
um.map_write.host_alloc_bytes: 4
um.map_write.device_alloc_bytes: 1073741828
um.map_write.allocated_bytes: 1073741832
um.map_write.copy_bytes_issued_total: 0
um.map_write.enqueues_copy: 0
um.map_write.drains_per_round: 2
um.map_write.retouch_round: 4
um.map_write.retouch_write_ns: 234435000
um.map_write.retouch_publish_ns: 21898000
um.map_write.retouch_total_ns: 268667000
um.map_write.retouch_over_steady: 21.728316104228824
um.map_write.checksum: -275013883
um.map_write.expected: -275013883
um.map_write.round0_over_steady: 32.85778303677858
um.map_write.steady_ns_per_byte: 0.011515648104250431
um.host_direct.status: wrong
um.host_direct.detail: kernel took a host-buffer pointer but read the wrong bytes
um.host_direct.comparable: 0
um.host_direct.input_route: host_direct
um.host_direct.out_route: copy
um.host_direct.mode: resident
um.host_direct.payload_bytes: 1073741824
um.host_direct.alloc_ns: 59000
um.host_direct.round0_write_ns: 431431000
um.host_direct.round0_publish_ns: 0
um.host_direct.round0_total_ns: 477738000
um.host_direct.write_ns: 0
um.host_direct.publish_ns: 0
um.host_direct.kernel_ns: 0
um.host_direct.sync_ns: 0
um.host_direct.readback_ns: 0
um.host_direct.contend_ns: 0
um.host_direct.round_mean_ns: 0
um.host_direct.round_min_ns: 0
um.host_direct.host_alloc_bytes: 1073741828
um.host_direct.device_alloc_bytes: 4
um.host_direct.allocated_bytes: 1073741832
